Disease,Siteselected
"AIDS","West Bengal, Delhi, Kerala, Tamil Nadu"
"Acne","Maharashtra ,Karnataka,Delhi"
"Alcoholic hepatitis","Delhi,Maharashtra,Karnataka"
"Allergy","Uttar Pradesh, Delhi, Kerala, Tamil Nadu"
"Arthritis","Delhi,Maharashtra,Tamil Nadu"
"Bronchial Asthma","Gujarat, Telangana, Delhi, Karnataka"
"Cervical spondylosis"," Karnataka,Delhi,Maharashtra:"
"Chicken pox"," Kerala, Telangana, Tamil Nadu"
"Chronic cholestasis","Karnataka, Delhi, Gujarat, Tamil Nadu"
"Common Cold","Tamil Nadu,Karnataka,Delhi"
"Covid","Delhi,kerala,Mumbai"
"Dengue","Delhi,Tamil Nadu,Kerala"
"Diabetes","Telangana, Delhi, Karnataka, Tamil Nadu"
"Dimorphic hemorrhoids(piles)","Maharashtra ,Karnataka,Delhi"
"Drug Reaction ","Uttar Pradesh, Delhi, Karnataka, Tamil Nadu"
"Fungal infection","Maharashtra, Delhi, Kerala, Tamil Nadu"
"GERD","Telangana, Delhi, Kerala, Tamil Nadu"
"Gastroenteritis","Maharashtra, Karnataka, Tamil Nadu, Kerala"
"Heart attack","Delhi,Maharashtra,Tamil Nadu"
"Hepatitis A"," Delhi,Maharashtra,Tamil Nadu"
"Hepatitis B","Delhi,Maharashtra,Tamil Nadu"
"Hepatitis C","Delhi,Maharashtra,Tamil Nadu"
"Hepatitis D","Delhi,Maharashtra,Tamil Nadu"
"Hepatitis E","Delhi,Maharashtra,Tamil Nadu"
"Hypertension","Telangana, Maharashtra, Karnataka, Tamil Nadu"
"Hyperthyroidism","Delhi,Maharashtra,Tamil Nadu"
"Hypoglycemia","Tamil Nadu,Karnataka,Delhi"
"Hypothyroidism","Maharashtra,Karnataka,Delhi"
"Impetigo","Maharashtra ,Karnataka,Delhi"
"Jaundice","Tamil Nadu,Karnataka,Delhi"
"Malaria","Karnataka,Delhi, Maharashtra"
"Migraine","Delhi, Maharashtra,Tamil Nadu"
"Osteoarthritis","Maharashtra ,Karnataka,Delhi"
"Paralysis (brain haemorrhage)","Delhi,Tamil Nadu,Maharashtra"
"Paroxysmal Positional Vertigo","Delhi,Maharashtra,Tamil Nadu"
"Peptic ulcer disease","Telangana, Delhi, Kerala, Tami Nadu"
"Pneumonia","Maharashtra ,Karnataka,Delhi"
"Psoriasis","Maharashtra , Tamil Nadu ,Delhi"
"Tuberculosis","Delhi,Maharashtra,Tamil Nadu"
"Typhoid","Maharashtra,Delhi,Karnataka"
"Urinary tract infection ","Maharashtra ,Karnataka,Delhi"
"Varicose veins ","Tamil Nadu,Karnataka,Delhi"
